Date,Open,High,Low,Close,Adj Close,Volume
2004-09-08,112.620003,113.059998,112.309998,112.580002,78.213959,32963100
2004-09-09,112.570000,112.879997,112.029999,112.480003,78.144447,34314800
2004-09-10,112.519997,113.269997,112.080002,113.059998,78.547394,27900600
2004-09-13,113.309998,113.739998,113.010002,113.430000,78.804451,44398100
2004-09-14,113.300003,113.690002,113.190002,113.660004,78.964256,28048900
2004-09-15,113.300003,113.360001,112.680000,112.800003,78.366760,38295000
2004-09-16,112.849998,113.370003,112.800003,113.139999,78.602989,23911700
2004-09-17,112.949997,113.360001,112.690002,113.150002,78.937149,33683000
2004-09-20,112.669998,112.989998,112.279999,112.470001,78.462784,37149400
2004-09-21,112.750000,113.470001,112.540001,112.959999,78.804573,40920800
2004-09-22,112.500000,112.519997,111.470001,111.550003,77.820923,49042100
2004-09-23,111.599998,111.699997,110.949997,110.949997,77.402359,44068700
2004-09-24,111.169998,111.730003,111.129997,111.459999,77.758141,34981100
2004-09-27,111.099998,111.199997,110.580002,110.750000,77.262817,39355100
2004-09-28,110.910004,111.510002,110.410004,111.279999,77.632591,41662900
2004-09-29,111.209999,111.849998,111.000000,111.839996,78.023262,33325700
2004-09-30,111.550003,111.980003,111.260002,111.760002,77.967461,43536700
2004-10-01,112.260002,113.650002,112.209999,113.650002,79.285995,62824300
2004-10-04,114.099998,114.440002,113.800003,113.839996,79.418533,33082400
2004-10-05,113.849998,114.160004,113.540001,113.900002,79.460358,36910600
2004-10-06,113.769997,114.680000,113.680000,114.680000,80.004562,42297800
2004-10-07,114.379997,114.400002,113.360001,113.449997,79.146423,39388800
2004-10-08,113.150002,113.769997,112.349998,112.510002,78.490692,51872600
2004-10-11,112.779999,113.019997,112.639999,112.970001,78.811577,20229100
2004-10-12,112.199997,112.830002,111.940002,112.529999,78.504608,41754700
2004-10-13,113.000000,113.070000,111.320000,111.540001,77.813980,54212600
2004-10-14,111.680000,111.930000,110.580002,110.639999,77.186111,64082200
2004-10-15,111.019997,111.739998,110.570000,111.260002,77.618637,63482200
2004-10-18,110.889999,111.900002,110.699997,111.680000,77.911644,43535100
2004-10-19,112.019997,112.230003,110.589996,110.739998,77.255859,55851900
2004-10-20,110.379997,110.820000,109.750000,110.519997,77.102371,57118500
2004-10-21,110.790001,111.320000,110.209999,111.239998,77.604683,53218300
2004-10-22,111.190002,111.250000,109.860001,109.989998,76.732651,48752400
2004-10-25,109.750000,110.120003,109.349998,109.860001,76.641937,43990900
2004-10-26,110.129997,111.599998,109.879997,111.540001,77.813980,54337400
2004-10-27,111.379997,113.099998,111.120003,112.879997,78.748810,73896000
